"product_code","normalised_impact_score","ranked_impact_score"
340813,1,1
564705,0.719795716406751,2
93157,0.622277887555094,3
592519,0.61874910941887,4
377170,0.525486673632226,5
465068,0.457990352750606,6
250985,0.444300705117804,7
372733,0.400796201581998,8
330009,0.388899098968278,9
587697,0.369552425067558,10
341041,0.365753930411453,11
596731,0.360372241467432,12
264642,0.346303245132777,13
343011,0.337938086744944,14
195962,0.323015519862976,15
469283,0.319545085106537,16
404805,0.315248982982831,17
259520,0.310554043998128,18
513270,0.307601338293582,19
486442,0.303745191369523,20
197630,0.299734163531805,21
474334,0.297058299705461,22
538815,0.278477214880143,23
606491,0.273890324480857,24
504606,0.273759060397834,25
520952,0.273033600609573,26
587197,0.267415454403676,27
331103,0.262748333300219,28
287810,0.260443101383663,29
96900,0.259050162716493,30
518832,0.25658453386645,31
429696,0.254097779017077,32
267156,0.239047698332857,33
100458,0.234782395086949,34
319707,0.234105598507865,35
177216,0.22996569739258,36
449049,0.229856608017962,37
312191,0.223703044607116,38
454258,0.223356952311253,39
261422,0.21929760843743,40
393461,0.214974911858595,41
298443,0.209960105565183,42
432952,0.208307113391888,43
152410,0.20811427888607,44
587082,0.203666382821284,45
106459,0.202144603231448,46
236743,0.194560952805239,47
280632,0.194169226460987,48
361801,0.191861411164706,49
578137,0.190195126339831,50
539718,0.185550662629615,51
367550,0.182226461469253,52
46761,0.179292453704583,53
386262,0.176949968626984,54
560270,0.176220190287773,55
377215,0.172966338146503,56
532339,0.172418130653408,57
513482,0.16999212333115,58
261452,0.169103682149063,59
84813,0.168249001224121,60
429790,0.164736002683427,61
288256,0.163708789745981,62
383291,0.163204102579075,63
94196,0.161170892590254,64
398971,0.161168096985095,65
585465,0.161139390275594,66
489515,0.159264216351662,67
380907,0.158530950252335,68
454128,0.15850142975863,69
228643,0.158039757345495,70
238236,0.158009586568309,71
583026,0.155721449220151,72
193125,0.153464810048667,73
520081,0.153416335450541,74
527177,0.153335320171665,75
607037,0.152889179897832,76
605328,0.151908027105495,77
101790,0.151436995863857,78
484159,0.150799009644616,79
362911,0.150552470222511,80
176176,0.149919606296564,81
306201,0.149776993617583,82
87808,0.147988051055618,83
200081,0.145929680751831,84
37954,0.140680053406894,85
149206,0.140470167442437,86
568338,0.138975023399048,87
531036,0.138723636355033,88
436921,0.137499592344194,89
476516,0.136410037301251,90
473799,0.134811164584295,91
588168,0.13400376075101,92
360547,0.133667704065233,93
137799,0.133470795657259,94
231176,0.133141889668315,95
608014,0.13253799986273,96
584975,0.131510552696642,97
230951,0.130187972528722,98
485668,0.130065254388599,99
558862,0.129025667019125,100
149878,0.128844469411928,101
453236,0.12872244896203,102
403010,0.128125609489936,103
483163,0.126983822329194,104
478445,0.126389854307563,105
608022,0.125795088033382,106
610209,0.125651168340764,107
253645,0.125024146170045,108
491392,0.124181320309131,109
388160,0.123134636823069,110
245425,0.122622832838869,111
582559,0.122224504618836,112
533171,0.121723740650991,113
498668,0.121486714496303,114
439384,0.120951362182599,115
171504,0.120923126195952,116
245007,0.118669908918994,117
335391,0.117255787339844,118
155917,0.116755842854373,119
512931,0.116508561548411,120
255094,0.116244381415261,121
596269,0.115736071546842,122
188547,0.11541473602071,123
499807,0.115035674613788,124
556505,0.114471307335077,125
360655,0.112951125336979,126
440204,0.112136100295591,127
572534,0.111907315097507,128
600736,0.111301485494468,129
290733,0.109493716671479,130
429779,0.109427777626512,131
592322,0.107720445075347,132
434826,0.10768372711475,133
316458,0.107506353456596,134
117826,0.107152104493179,135
214292,0.107066466717223,136
225123,0.10551069261026,137
133887,0.104851925593952,138
174492,0.104688313754421,139
270979,0.104504970878367,140
568785,0.103663974027935,141
90344,0.103249679664814,142
124035,0.103100646467058,143
470712,0.10251305368275,144
164686,0.102255771774045,145
461771,0.102246148880133,146
561983,0.10172120390237,147
555465,0.0991906976497299,148
159504,0.0982518938149765,149
433037,0.0964705606320251,150
126443,0.0962435014861731,151
145074,0.0947700508405425,152
484763,0.0947457615991925,153
610304,0.094425476834448,154
272832,0.0943942567866892,155
533219,0.0932144302395237,156
334140,0.093097588794316,157
396418,0.0924700588979172,158
326643,0.0920583054281076,159
397884,0.0917820789076316,160
234185,0.0915612635978351,161
198639,0.0908476566673024,162
611524,0.0906963642009279,163
545075,0.0890501114079548,164
220541,0.0889570002097734,165
522704,0.0883624898909121,166
462728,0.0876179908477616,167
604588,0.0872019998704345,168
552425,0.0870352666910416,169
322842,0.0867913093985392,170
324929,0.0865880460154337,171
467748,0.0864557461240689,172
258510,0.0863686156954222,173
268966,0.0861705191844529,174
347988,0.0861622367666334,175
60461,0.0856915260357948,176
277891,0.0854804124684345,177
281796,0.0850398797988642,178
607875,0.0843042468733428,179
433613,0.0842333113251315,180
494868,0.0837557978312048,181
